occurrence, reduction, nogood
 8, 14056, how[5]!=2 objective>=205 used[2]=false how[7]=-3 used[3]=false how[5]=-3 how[4]=-3 how[2]=-3 how[1]=-3 how[9]=-2 how[7]=-2 how[5]=-2 how[4]=-2 how[1]=-2 how[9]=-3 how[2]=-2
 70, 4058, how[5]!=1 how[8]>0 objective>=198 how[9]=-1 how[2]=-1 how[5]=-1 how[4]=-1 used[1]=false how[8]=-1 how[3]>=1
 35, 3746, how[5]!=5 how[9]=-5 how[8]=-5 used[5]=false how[5]=-5 how[4]=-5 how[2]=-5 how[1]=-5 how[7]=-5 how[6]=-5
 14, 3550, how[1]=-2 how[5]!=2 objective>=205 used[2]=false how[5]=-3 how[4]=-3 how[2]=-2 how[9]=-3 how[9]=-2 how[7]=-2 how[5]=-2 how[4]=-2 how[2]!=3
 107, 3548, how[5]!=2 how[8]>0 objective>=205 how[9]=-2 how[2]=-2 how[5]=-2 how[4]=-2 used[2]=false how[8]=-2 how[3]>=1
 28, 3535, how[5]!=2 how[9]=-2 objective>=252 how[7]=-2 used[2]=false how[5]=-2 how[4]=-2 how[2]=-2 how[1]=-2 how[4]>0 how[8]=-2 how[3]>=1
 46, 3479, how[1]=-2 how[8]=-2 how[7]=-2 how[6]=-2 how[5]=-2 how[4]=-2 how[3]=-2 how[2]=-2 how[9]<=1 how[9]>=3
 31, 2928, how[9]=-4 how[5]>0 objective>=198 how[5]=-4 how[4]=-4 how[2]<=3 how[2]>=5
 7, 2807, how[5]!=2 objective>=198 how[4]>0 how[1]=-2 used[2]=false how[7]=-2 how[5]=-2 how[4]=-2 how[2]=-2 how[9]=-2 how[8]>=1
 2, 2704, how[5]!=2 objective>=198 how[1]=-2 how[9]>0 how[7]=-2 used[2]=false how[5]=-2 how[4]=-2 how[2]=-2 how[6]=-2 how[9]=-2
 32, 2612, how[9]=-3 objective>=198 how[5]=-3 how[4]=-3 how[5]>0 how[2]!=3
 74, 2381, how[9]=-2 how[8]=-2 how[7]=-2 used[2]=false how[5]=-2 how[4]=-2 how[3]=-2 how[2]=-2 how[9]=-1 how[8]=-1 how[7]=-1 how[5]=-1 how[4]=-1 used[1]=false how[2]=-1 how[3]=-1 how[1]<=1
 11, 2338, how[5]!=2 objective>=205 how[1]=-2 how[9]=-2 used[2]=false how[7]=-2 how[5]=-2 how[4]=-2 how[2]=-2 how[2]>0 how[8]>=1
 31, 2277, how[6]>0 how[9]=-3 objective>=253 how[6]=-3 how[5]=-3 how[4]=-3 how[2]!=3
 21, 2126, used[3]=false objective>=215 how[9]=-3 how[7]=-3 how[5]=-3 how[4]=-3 how[2]=-3 how[1]=-3 how[8]>0 how[7]>0
 6, 2094, how[5]!=1 how[9]=-1 how[2]=-1 how[5]=-1 how[4]=-1 used[1]=false objective>=198 how[7]=-3 how[5]=-3 how[2]=-3 how[9]=-3 used[3]=false how[4]=-3 how[8]>0 how[8]<=-1
 6, 2094, used[1]=false how[7]=-3 used[3]=false how[5]=-3 how[4]=-3 how[2]=-3 how[1]=-3 how[9]=-1 how[7]=-1 how[5]=-1 how[4]=-1 how[2]=-1 how[1]=-1 how[9]=-3 how[8]<=0
 58, 2089, how[9]=-2 how[8]=-2 how[7]=-2 used[2]=false how[5]=-2 how[4]=-2 how[3]=-2 how[2]=-2 how[2]=-1 how[9]=-1 how[8]=-1 how[7]=-1 how[3]=-1 how[5]=-1 how[4]=-1 how[1]<=0 how[1]>=2
 3, 2050, how[3]<=1 how[8]<=1 how[3]=3 how[8]=3 how[3]=4 how[5]!=5 how[8]=4 used[2]
