occurrence, reduction, nogood
 247, 22603, how[4]=-3 how[4]=-5 how[7]=-5 how[1]=-3 how[1]=-5 how[9]=-3 how[9]=-5 how[7]=-3 how[6]<=4
 6, 7999, used[2]=false how[7]==-3 how[1]==-3 how[4]=-5 how[4]=-1 how[4]=-4 objective>=198 how[9]=-1 how[4]=-3 how[9]=-2 how[9]=-3 how[9]=-4 how[4]=-2 how[9]=-5 used[3]=false how[2]<=-3
 61, 7454, how[1]!=1 how[7]!=-1
 49, 6960, how[1]!=2 how[7]!=-2
 36, 5964, how[4]=-2 how[4]=-1 how[4]=-5 how[7]=-3 how[7]=-2 used[3]=false how[7]=-5 how[1]=-1 how[1]=-2 how[1]=-3 how[9]=-2 how[9]=-1 how[1]=-5 how[9]=-3 objective>=198 how[9]=-5 how[4]=-3 how[7]=-1 how[2]!=-4
 258, 5854, how[3]=-3 how[5]=-3 how[7]=-3 how[4]=-3 how[2]=-3 how[1]=-3 how[9]=-3 how[5]<=2 how[5]>=4
 20, 5506, how[7]=-2 how[4]=-1 how[4]=-5 how[7]=-3 used[2]=false how[7]=-5 how[1]=-2 how[1]=-1 how[4]=-3 how[1]=-3 objective>=204 how[1]=-5 how[4]=-2 used[1]=false how[9]=-1 how[9]=-2 how[9]=-3 how[9]=-5 how[7]=-1 how[2]!=-4
 8, 5505, how[4]=-2 how[7]=-2 used[2]=false how[7]=-5 used[5]=false how[4]=-5 how[1]=-5 how[1]=-2 how[9]=-2 how[9]=-5 objective>=198 how[1]=-4 how[4]=-4 how[1]=-3 how[7]=-3 how[4]=-3 how[7]=-4 how[9]=-3 how[9]=-4 how[6]>=5 how[7]!=-1
 10, 5018, how[2]<=-5 how[9]=-4 how[2]=-5 objective>=198 how[4]=-5 used[1]=false how[7]=-3 how[6]>=5 how[7]=-2 how[7]=-4 how[4]=-1 used[5]=false how[1]=-1 how[4]=-2 how[1]=-2 how[7]=-5 how[1]=-3 how[1]=-4 how[9]=-1 how[4]=-3 how[1]=-5 how[9]=-2 how[9]=-3 how[9]=-5 how[4]=-4 how[7]=-1 used[2]=false
 6, 4695, used[2]=false how[7]==-2 how[4]=-1 how[1]=-1 how[9]=-1 how[9]=-4 how[4]=-4 how[1]=-4 how[9]=-3 how[4]=-3 how[1]=-3 objective>=198 how[2]=-2 how[4]=-5 how[9]=-2 how[1]=-2 how[4]=-2 how[1]=-5 how[9]=-5 how[1]!=3
 20, 4509, how[9]=-4 how[7]=-4 how[4]=-4 how[4]=-2 how[1]=-4 how[4]=-1 how[7]=-5 how[2]=-5 how[4]=-5 how[1]=-5 how[9]=-5 objective>=204 used[1]=false how[7]=-2 how[6]>=5 used[2]=false how[7]=-1 how[1]=-2 how[1]=-1 how[9]=-1 how[9]=-2 how[2]=-4 how[2]!=-3
 251, 4337, how[4]=-1 used[1]=false how[7]=-1 how[1]=-1 how[2]=-1 how[9]=-1 how[3]<=-2 how[6]!=1
 1, 4282, how[7]=-3 how[4]=-3 how[1]=-3 how[9]=-3 how[7]=-4 how[1]=-4 how[9]=-4 how[4]=-4 how[2]>=-1 how[2]<=-5 objective>=198 how[9]=-5 how[4]=-5 used[5]=false how[2]=-5 how[7]=-5 how[1]=-1 how[4]=-1 how[1]=-5 how[9]=-1 how[2]>0 how[7]!=-2
 32, 4263, how[1]!=3 how[7]!=-3
 94, 4056, how[6]=1 how[6]=2 how[7]=-3 how[1]=-3 how[9]=-3 how[4]=-3 how[2]=-3 how[6]<=0 how[6]>=4
 201, 3727, how[9]=-3 how[3]=-3 how[7]=-3 how[4]=-3 how[2]=-3 how[1]=-3 how[5]=-3 how[3]<=2 how[3]>=4
 5, 3719, how[4]=-1 how[1]=-1 how[9]=-1 objective>=198 how[9]=-4 how[7]=-4 how[4]=-4 how[1]=-4 how[6]>=5 used[2]=false how[1]=-3 how[9]=-3 how[4]=-3 used[5]=false how[4]=-2 how[7]=-2 how[1]=-2 how[2]=-2 how[9]=-2 how[7]=-3 how[7]=-5 how[4]=-5 how[1]=-5 how[9]=-5 how[7]=-1 used[3]=false
 7, 3636, how[1]=-4 how[9]=-4 how[7]=-4 how[4]=-4 how[2]<=-5 how[6]>=5 how[4]=-3 objective>=198 how[2]=-5 how[9]=-5 used[1]=false how[4]=-5 how[1]=-1 how[1]=-3 used[5]=false how[9]=-1 how[9]=-3 how[4]=-1 how[1]=-5 how[7]=-5 how[7]=-3 how[7]!=-2
 43, 3534, how[6]>=5 how[4]=-1 how[6]=2 how[2]=-1 how[7]=-1 how[1]=-1 how[9]=-1 how[9]=-3 used[3]=false how[7]=-3 how[4]=-3 objective>=204 how[1]=-3 how[2]=-3 how[3]!=-4
 35, 3495, how[9]=-4 how[7]=-4 how[9]=-1 how[4]=-4 how[2]=-4 how[1]=-4 how[6]>=5 how[4]=-1 how[6]=2 how[2]=-1 how[7]=-1 how[1]=-1 how[9]=-3 used[3]=false how[7]=-3 how[4]=-3 objective>=204 how[1]=-3 how[2]=-3 how[3]>=-4
 6, 3427, how[1]=-3 how[9]=-3 how[4]=-3 how[9]=-5 how[9]=-1 how[4]=-1 how[1]=-2 how[4]=-5 objective>=198 used[2]=false how[9]=-2 how[7]=-5 how[4]=-2 how[1]=-5 used[5]=false how[1]=-1 how[7]!=-4
 2, 3224, how[7]==-3 how[7]=-3 how[2]<=-5 how[7]=-4 used[5]=false how[2]=-5 how[7]=-5 how[9]=-5 how[4]=-1 how[1]=-1 how[1]=-2 how[1]=-3 how[4]=-4 how[1]=-4 how[9]=-3 how[4]=-3 how[1]=-5 objective>=198 used[2]=false how[4]=-5 how[9]=-1 how[9]=-2 how[4]=-2 how[9]=-4 how[1]!=3
 26, 3038, how[7]=-2 how[2]=-2 how[1]=-2 how[9]=-2 how[4]=-2 objective>=198 used[3]=false how[6]>=5 how[9]=-4 how[2]=-3 how[9]=-3 how[7]=-4 how[4]=-3 how[7]=-3 how[6]=2 how[1]=-3 how[1]=-4 how[4]=-4 how[2]=-4 how[2]!=-1
 15, 2880, how[2]==-3 used[2]=false how[7]==-3 how[1]==-3 how[4]=-5 how[4]=-1 how[4]=-4 objective>=198 how[9]=-1 how[4]=-3 how[9]=-2 how[9]=-3 how[9]=-4 how[4]=-2 how[9]=-5 how[2]=-3 used[3]=false
 33, 2826, how[4]=-5 how[7]=-5 how[1]=-5 how[9]=-5 how[9]=-4 how[7]=-4 how[4]=-4 how[2]=-4 how[1]=-4 how[6]>=5 how[2]=-3 how[1]=-3 how[9]=-3 how[4]=-3 how[4]=-1 objective>=204 how[7]=-2 how[9]=-2 how[7]=-3 how[4]=-2 how[1]=-2 used[2]=false used[1]=false how[7]=-1 how[1]=-1 how[2]=-1 how[9]=-1 how[2]=-2 how[3]>=-4
 11, 2766, how[1]==-4 how[2]=4 how[1]=4 how[7]==-4 how[6]=4 how[2]==-4 how[5]=4 how[9]=-2 how[4]=-2 how[8]=4 how[4]=-1 how[9]=-1 used[4]=false how[3]=4 how[4]=-4 how[9]=-4 objective>=198 how[4]=-5 how[9]=-5 how[9]=-3 how[4]=-3 how[2]=-4 used[3]=false
 19, 2744, how[6]>=5 how[4]=-2 how[7]=-2 used[2]=false how[7]=-3 how[4]=-4 how[7]=-4 how[4]=-1 how[1]=-1 how[4]=-3 how[1]=-3 objective>=204 how[1]=-2 how[1]=-4 used[1]=false how[9]=-1 how[9]=-2 how[9]=-3 how[9]=-4 how[7]=-1 how[2]!=-5
 147, 2736, how[3]=-4 how[2]=-4 how[7]=-4 how[1]=-4 how[9]=-4 how[4]=-4 how[5]=-4 how[5]<=3 how[5]>=5
 7, 2721, how[2]==-4 how[4]=-3 how[7]==-4 how[7]=-3 how[6]=4 how[6]=-3 how[3]=-3 how[3]=4 how[5]=-3 how[4]=-1 how[1]=-1 how[9]=-1 how[9]=-4 used[4]=false how[4]=-4 how[2]=-4 how[1]=-4 used[5]=false how[4]=-5 how[2]=-3 how[1]=-2 how[4]=-2 how[7]=-3 objective>=198 how[1]=-3 how[1]=-5 how[9]=-2 how[9]=-3 how[9]=-5 how[1]!=2
 1, 2712, used[5]=false how[2]=-5 how[4]=-3 how[1]=-3 how[9]=-3 objective>=198 how[4]=-1 how[9]=-4 how[7]=-4 how[9]=-1 how[7]=-5 how[1]=-5 how[4]=-5 how[9]=-5 how[1]=-1 how[4]=-4 how[1]=-2 how[1]=-4 how[4]=-2 used[2]=false how[9]=-2 used[1]=false how[7]!=-3
 6, 2614, how[4]=-1 used[5]=false how[1]=-1 how[9]=-1 how[6]>=5 how[7]=-2 how[9]=-3 how[4]=-3 how[9]=-5 how[7]=-3 objective>=198 how[1]=-3 how[4]=-5 how[1]=-2 how[7]=-5 how[2]=-5 used[2]=false how[9]=-2 how[1]=-5 how[4]=-2 how[7]=-1 how[2]!=-4
 151, 2561, how[6]=-3 how[9]=-3 how[7]=-3 how[4]=-3 how[1]=-3 how[2]=-3 how[6]<=2 how[6]>=4
 105, 2464, how[9]=-3 how[3]=-3 how[2]=-3 how[7]=-3 how[1]=-3 how[4]=-3 how[5]=-3 how[3]>=4 how[3]<=2
 178, 2453, how[9]=-5 how[7]=-5 how[6]=-5 how[4]=-5 how[1]=-5 how[2]=-5 how[6]<=4
 40, 2442, used[5]=false how[3]=-2 how[2]=-2 how[4]=-5 how[3]=-5 how[7]=-2 how[2]=-5 how[9]=-2 how[7]=-5 how[1]=-2 how[4]=-2 how[1]=-5 how[9]=-5 used[2]=false objective>=198 how[6]>=5 how[6]=2 how[2]=-3 how[7]=-3 how[1]=-3 how[9]=-3 how[4]=-3 how[6]=1 how[5]!=-4
 4, 2438, how[2]=-5 how[9]=-5 how[9]=-1 how[4]=-1 used[5]=false how[7]=-5 how[1]=-1 how[1]=-2 how[4]=-2 how[9]=-4 how[1]=-3 objective>=198 how[1]=-5 how[1]=-4 how[4]=-5 used[2]=false how[4]=-3 how[4]=-4 how[9]=-2 how[9]=-3 how[7]=-4 how[7]!=-3
 5, 2431, how[2]<=-5 used[5]=false how[2]=-5 how[9]=-1 how[9]=-5 how[7]=-5 how[4]=-5 how[4]=-1 how[1]=-5 how[1]=-1 how[1]=-4 how[9]=-4 how[7]=-4 how[4]=-4 objective>=198 how[9]=-3 how[7]=-3 how[1]=-3 how[4]=-3 used[3]=false how[6]>=5 how[7]!=-2
 12, 2384, how[9]=-3 used[2]=false how[4]=-2 how[7]=-2 how[1]=-2 how[2]=-2 how[9]=-2 how[9]=-5 how[7]=-5 how[4]=-5 how[2]=-3 objective>=198 how[1]=-5 how[6]>=5 how[2]=-5 how[4]=-3 used[5]=false how[7]=-4 how[7]=-3 how[1]=-3 how[9]=-4 how[4]=-4 how[1]=-4 how[2]=-4 how[2]!=-1
 139, 2328, how[2]<=-5 how[1]=-3 how[9]=-3 how[6]=-3 how[4]=-3 how[7]=-3 how[6]<=2 how[6]>=4
 88, 2283, how[6]=1 how[6]=2 how[2]=-3 how[7]=-3 how[1]=-3 how[9]=-3 how[4]=-3 how[9]=-4 how[7]=-4 how[1]=-4 how[4]=-4 how[3]=-4 how[2]=-4 how[5]=-4 how[6]<=0 how[6]>=5
 29, 2218, how[6]>=5 how[2]=-3 how[2]=-1 how[4]=-5 how[7]=-5 how[1]=-3 how[1]=-5 how[9]=-3 how[9]=-5 how[4]=-3 how[7]=-2 objective>=204 how[4]=-2 how[7]=-1 how[7]=-3 how[4]=-1 how[1]=-2 how[1]=-1 used[2]=false used[1]=false how[9]=-1 how[9]=-2 how[2]=-2 how[3]!=-4
 213, 2121, how[9]=-5 how[7]=-5 how[1]=-5 how[5]=-5 how[4]=-5 how[3]=-5 how[2]=-5 how[6]=-5 how[5]<=4
 203, 2119, how[9]=-5 how[7]=-5 how[1]=-5 how[5]=-5 how[4]=-5 how[3]=-5 how[2]=-5 how[6]=-5 how[3]<=4
 14, 1939, how[4]!=1 objective>=204 how[9]=-1 used[1]=false how[4]=-1 how[2]=-1 how[1]=-1 how[9]=-5 how[7]=-5 how[4]=-5 how[1]=-5 how[7]=-4 how[1]=-4 how[9]=-4 how[4]=-4 how[7]=-3 how[1]=-3 how[9]=-3 how[4]=-3 how[6]>=5 how[7]!=-2
 3, 1925, how[2]=-5 used[3]=false how[4]=-1 how[1]=-1 how[9]=-1 how[7]=-3 how[4]=-2 how[1]=-2 how[9]=-2 objective>=198 how[7]=-4 how[7]=-5 how[1]=-4 how[9]=-4 how[4]=-4 how[6]>=5 how[4]=-5 how[1]=-3 how[9]=-5 how[9]=-3 how[1]=-5 how[4]=-3 how[1]!=3 how[7]=-2 how[7]!=-1
 110, 1924, how[2]=-4 how[9]=-4 objective>=205 how[4]=-4 how[7]=-4 how[1]=-4 how[9]>0 how[3]=-4 how[6]<=3 how[6]>=5
 13, 1903, how[5]=1 how[6]=1 how[6]>=5 how[3]=1 how[9]=-3 used[1]=false how[7]=-3 how[1]=-3 how[4]=-3 how[2]=-4 how[7]=-4 how[1]=-4 how[9]=-4 how[4]=-4 how[7]=-5 how[2]=-5 how[4]=-5 how[1]=-5 how[9]=-5 objective>=204 how[9]=-1 how[7]=-1 how[4]=-1 how[1]=-1 how[2]=-3 how[2]!=-2
 9, 1863, how[2]==-4 how[6]>=5 objective>=198 how[9]=-4 how[4]=-4 used[1]=false how[7]=-3 how[4]=-3 how[7]=-5 how[7]=-4 how[7]=-2 how[4]=-5 how[2]=-4 how[1]=-1 how[1]=-2 how[1]=-3 how[1]=-4 how[4]=-1 how[1]=-5 how[9]=-1 used[4]=false how[9]=-2 how[4]=-2 how[9]=-3 how[9]=-5 how[7]=-1 used[2]=false
 38, 1780, how[3]=-4 how[2]=-4 how[7]=-4 how[1]=-4 how[9]=-4 how[4]=-4 how[3]>=5 how[3]<=3 how[5]=-4
 24, 1765, how[1]!=4 how[7]!=-4
